192,,1666808053718299,1666808053774332,0,,1666808053718299,1666808053774332,0,,1666808053718299,1666808053774332,0,,1666808053718299,1666808053774332,0,,1666808053718299,1666808053774332,
192,,1666808053774594,1666808053780309,0,,1666808053774594,1666808053780309,0,,1666808053774594,1666808053780309,0,,1666808053774594,1666808053780309,0,,1666808053774594,1666808053780309,
192,,1666808053780515,1666808053786669,0,,1666808053780515,1666808053786669,0,,1666808053780515,1666808053786669,0,,1666808053780515,1666808053786669,0,,1666808053780515,1666808053786669,
192,,1666808053786855,1666808053792796,0,,1666808053786855,1666808053792796,0,,1666808053786855,1666808053792796,0,,1666808053786855,1666808053792796,0,,1666808053786855,1666808053792796,
448,,1666808053792978,1666808053798045,0,,1666808053792978,1666808053798045,0,,1666808053792978,1666808053798045,0,,1666808053792978,1666808053798045,0,,1666808053792978,1666808053798045,
192,,1666808053798228,1666808053803867,0,,1666808053798228,1666808053803867,0,,1666808053798228,1666808053803867,0,,1666808053798228,1666808053803867,0,,1666808053798228,1666808053803867,
192,,1666808053804084,1666808053810063,0,,1666808053804084,1666808053810063,0,,1666808053804084,1666808053810063,0,,1666808053804084,1666808053810063,0,,1666808053804084,1666808053810063,
256,,1666808053810251,1666808053815843,0,,1666808053810251,1666808053815843,0,,1666808053810251,1666808053815843,0,,1666808053810251,1666808053815843,0,,1666808053810251,1666808053815843,
192,,1666808053816060,1666808053821744,0,,1666808053816060,1666808053821744,0,,1666808053816060,1666808053821744,0,,1666808053816060,1666808053821744,0,,1666808053816060,1666808053821744,
512,,1666808053821926,1666808053828642,0,,1666808053821926,1666808053828642,0,,1666808053821926,1666808053828642,0,,1666808053821926,1666808053828642,0,,1666808053821926,1666808053828642,
192,,1666808053828826,1666808053834296,0,,1666808053828826,1666808053834296,0,,1666808053828826,1666808053834296,0,,1666808053828826,1666808053834296,0,,1666808053828826,1666808053834296,
192,,1666808053834480,1666808053840192,0,,1666808053834480,1666808053840192,0,,1666808053834480,1666808053840192,0,,1666808053834480,1666808053840192,0,,1666808053834480,1666808053840192,
